1712756950.431376,10.10.1.100:48780,,,10,41,0.281
1712756950.467593,10.10.1.100:48802,,,10,14517,0.229
1712756950.468423,10.10.1.100:48796,,,13,23205,1.704
1712756950.469154,10.10.1.100:48818,,,10,14517,0.236
1712756950.501953,10.10.1.100:48802,,,10,15965,0.229
1712756950.502592,10.10.1.100:48796,,,16,31893,13.4
1712756950.502956,10.10.1.100:48818,,,10,15965,0.236
1712756950.542287,10.10.1.100:48802,,,10,15965,0.229
1712756950.543017,10.10.1.100:48796,,,19,40581,33.226
1712756950.543664,10.10.1.100:48818,,,10,15965,0.236
1712756950.577314,10.10.1.100:48802,,,12,20309,27.162
1712756950.578057,10.10.1.100:48796,,,20,43477,41.135
1712756950.578546,10.10.1.100:48818,,,10,15965,0.236
1712756950.611898,10.10.1.100:48802,,,15,28997,66.422
1712756950.612684,10.10.1.100:48796,,,20,43477,41.135
1712756950.613413,10.10.1.100:48818,,,10,15965,0.236
1712756950.647562,10.10.1.100:48802,,,18,37685,104.717
1712756950.648358,10.10.1.100:48796,,,20,44925,41.135
1712756950.649075,10.10.1.100:48818,,,10,15965,0.236
1712756950.682836,10.10.1.100:48802,,,20,43477,129.869
1712756950.683569,10.10.1.100:48796,,,20,44925,41.135
1712756950.684210,10.10.1.100:48818,0,1,11,18861,28.831
1712756950.719159,10.10.1.100:48802,,,20,43477,129.869
1712756950.719933,10.10.1.100:48796,,,20,44925,41.135
1712756950.720607,10.10.1.100:48818,0,1,14,27549,103.496
1712756950.755978,10.10.1.100:48802,,,20,43477,129.869
1712756950.756770,10.10.1.100:48796,,,20,44925,41.135
1712756950.757501,10.10.1.100:48818,0,1,17,36237,165.496
1712756950.792331,10.10.1.100:48802,,,20,43477,129.869
1712756950.793069,10.10.1.100:48796,,,20,44925,41.135
1712756950.793727,10.10.1.100:48818,0,1,19,42029,201.932
1712756950.832420,10.10.1.100:48802,,,20,43477,129.869
1712756950.833203,10.10.1.100:48796,,,22,49269,115.167
1712756950.833860,10.10.1.100:48818,0,1,20,44925,219.026
1712756950.869370,10.10.1.100:48802,,,20,43477,129.869
1712756950.870137,10.10.1.100:48796,,,26,60853,228.263
