1713397717.055122,10.10.1.100:52192,,,10,41,0.526
1713397717.142938,10.10.1.100:52204,,,10,14517,0.157
1713397717.143479,10.10.1.100:52212,,,10,14517,0.141
1713397717.144395,10.10.1.100:52198,,,13,23205,1.599
1713397717.174188,10.10.1.100:52204,,,10,15965,0.157
1713397717.174779,10.10.1.100:52212,,,10,15965,0.141
1713397717.175674,10.10.1.100:52198,,,15,28997,8.354
1713397717.205623,10.10.1.100:52204,,,10,15965,0.157
1713397717.206160,10.10.1.100:52212,,,10,15965,0.141
1713397717.207052,10.10.1.100:52198,,,18,37685,25.795
1713397717.237032,10.10.1.100:52204,,,11,17413,13.695
1713397717.237601,10.10.1.100:52212,,,10,15965,0.141
1713397717.238549,10.10.1.100:52198,,,20,43477,41.07
1713397717.268919,10.10.1.100:52204,,,13,23205,40.268
1713397717.269496,10.10.1.100:52212,,,10,15965,0.141
1713397717.270383,10.10.1.100:52198,,,20,43477,41.07
1713397717.300426,10.10.1.100:52204,,,16,31893,79.131
1713397717.300973,10.10.1.100:52212,,,10,15965,0.141
1713397717.301903,10.10.1.100:52198,,,20,43477,41.07
1713397717.332069,10.10.1.100:52204,,,19,40581,117.179
1713397717.332596,10.10.1.100:52212,,,10,15965,0.141
1713397717.333535,10.10.1.100:52198,,,20,43477,41.07
1713397717.363009,10.10.1.100:52204,,,20,43477,129.739
1713397717.363604,10.10.1.100:52212,0,1,11,18861,28.749
1713397717.364511,10.10.1.100:52198,,,20,43477,41.07
1713397717.394697,10.10.1.100:52204,,,20,43477,129.739
1713397717.395252,10.10.1.100:52212,0,1,13,24653,80.184
1713397717.396215,10.10.1.100:52198,1,1,1,10,41.07
1713397717.426375,10.10.1.100:52204,,,20,43477,129.739
1713397717.426907,10.10.1.100:52212,0,1,16,33341,145.838
1713397717.427931,10.10.1.100:52198,1,1,1,10,41.07
1713397717.460587,10.10.1.100:52204,,,20,43477,129.739
1713397717.461177,10.10.1.100:52212,0,1,19,42029,201.84
1713397717.462244,10.10.1.100:52198,1,1,1,10,41.07
1713397717.494417,10.10.1.100:52204,,,20,43477,129.739
1713397717.494992,10.10.1.100:52212,0,1,20,44925,218.931
1713397717.495999,10.10.1.100:52198,0,1,22,50717,115.175
1713397717.527669,10.10.1.100:52204,,,20,43477,129.739
1713397717.528224,10.10.1.100:52212,0,1,20,44925,218.931
1713397717.529309,10.10.1.100:52198,0,1,24,56509,177.58
1713397717.562401,10.10.1.100:52204,,,20,43477,129.739
1713397717.562973,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.563992,10.10.1.100:52198,0,1,26,62301,228.337
1713397717.596329,10.10.1.100:52204,,,21,46373,165.993
1713397717.596908,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.597980,10.10.1.100:52198,0,1,28,68093,274.144
1713397717.630563,10.10.1.100:52204,,,21,46373,165.993
1713397717.631162,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.632201,10.10.1.100:52198,0,1,31,76781,330.407
1713397717.664222,10.10.1.100:52204,,,21,46373,165.993
1713397717.664838,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.665875,10.10.1.100:52198,0,1,34,85469,374.794
1713397717.697887,10.10.1.100:52204,,,21,46373,165.993
1713397717.698475,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.699475,10.10.1.100:52198,0,1,36,91261,399.229
1713397717.732603,10.10.1.100:52204,,,21,46373,165.993
1713397717.733183,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.734249,10.10.1.100:52198,0,1,38,97053,411.417
1713397717.766525,10.10.1.100:52204,,,23,52165,246.32
1713397717.767125,10.10.1.100:52212,0,1,21,47821,242.512
1713397717.768163,10.10.1.100:52198,0,1,40,102845,423.533
