1713397594.027638,10.10.1.100:48914,,,10,41,0.757
1713397594.107896,10.10.1.100:48944,,,10,15965,0.384
1713397594.109382,10.10.1.100:48918,,,16,31893,13.662
1713397594.110710,10.10.1.100:48934,,,10,15965,0.413
1713397594.191982,10.10.1.100:48944,,,10,15965,0.384
1713397594.193482,10.10.1.100:48918,,,20,43477,41.397
1713397594.194821,10.10.1.100:48934,,,12,20309,27.357
1713397594.277153,10.10.1.100:48944,,,10,15965,0.384
1713397594.278611,10.10.1.100:48918,,,20,44925,41.397
1713397594.279972,10.10.1.100:48934,,,20,43477,130.053
1713397594.362280,10.10.1.100:48944,0,1,17,36237,165.682
1713397594.363733,10.10.1.100:48918,,,20,44925,41.397
1713397594.365125,10.10.1.100:48934,,,20,43477,130.053
1713397594.446531,10.10.1.100:48944,0,1,20,44925,219.175
1713397594.447977,10.10.1.100:48918,,,24,55061,177.692
1713397594.449348,10.10.1.100:48934,,,20,43477,130.053
1713397594.531574,10.10.1.100:48944,0,1,21,47821,242.786
1713397594.533069,10.10.1.100:48918,,,29,69541,295.797
1713397594.534411,10.10.1.100:48934,,,21,46373,166.315
1713397594.615503,10.10.1.100:48944,0,1,21,47821,242.786
1713397594.616954,10.10.1.100:48918,,,36,89813,399.718
1713397594.618332,10.10.1.100:48934,,,21,46373,166.315
1713397594.699831,10.10.1.100:48944,0,1,21,47821,242.786
1713397594.701321,10.10.1.100:48918,,,40,101397,423.939
1713397594.702656,10.10.1.100:48934,,,24,55061,280.828
1713397594.785460,10.10.1.100:48944,0,1,21,47821,242.786
1713397594.786959,10.10.1.100:48918,,,40,101397,423.939
1713397594.788316,10.10.1.100:48934,,,30,72437,424.52
1713397594.869375,10.10.1.100:48944,0,1,21,47821,242.786
1713397594.870829,10.10.1.100:48918,,,40,101397,423.939
1713397594.872166,10.10.1.100:48934,,,36,89813,478.168
1713397594.954095,10.10.1.100:48944,0,1,24,56509,376.051
1713397594.955598,10.10.1.100:48918,,,41,104293,449.208
1713397594.956936,10.10.1.100:48934,,,40,101397,512.396
1713397595.038376,10.10.1.100:48944,0,1,31,76781,559.425
1713397595.039904,10.10.1.100:48918,,,41,104293,449.208
1713397595.041271,10.10.1.100:48934,,,40,101397,512.396
1713397595.122154,10.10.1.100:48944,0,1,37,94157,646.202
1713397595.123690,10.10.1.100:48918,,,41,104293,449.208
1713397595.125099,10.10.1.100:48934,,,40,101397,512.396
1713397595.206832,10.10.1.100:48944,0,1,40,102845,678.321
1713397595.208298,10.10.1.100:48918,,,45,115877,576.913
1713397595.209769,10.10.1.100:48934,,,40,101397,512.396
1713397595.291847,10.10.1.100:48944,0,1,40,102845,678.321
1713397595.293433,10.10.1.100:48918,,,52,136149,708.717
1713397595.294794,10.10.1.100:48934,,,40,101397,512.396
1713397595.376619,10.10.1.100:48944,0,1,42,108637,711.038
1713397595.378202,10.10.1.100:48918,2,2,49,26,761.259
1713397595.379541,10.10.1.100:48934,,,42,107189,586.819
1713397595.461223,10.10.1.100:48944,0,1,42,108637,711.038
1713397595.462751,10.10.1.100:48918,5,5,38,26,804.989
1713397595.464103,10.10.1.100:48934,,,42,107189,586.819
1713397595.544581,10.10.1.100:48944,0,1,42,108637,711.038
1713397595.546105,10.10.1.100:48918,7,7,35,26,813.812
1713397595.547503,10.10.1.100:48934,1,1,40,21,668.985
1713397595.628316,10.10.1.100:48944,0,1,42,108637,711.038
1713397595.629811,10.10.1.100:48918,7,7,35,26,813.812
1713397595.631169,10.10.1.100:48934,5,5,30,21,768.737
1713397595.713571,10.10.1.100:48944,0,1,42,108637,711.038
1713397595.715027,10.10.1.100:48918,7,7,32,26,815.741
1713397595.716364,10.10.1.100:48934,8,8,23,21,801.132
1713397595.797619,10.10.1.100:48944,1,2,44,22,761.618
1713397595.799071,10.10.1.100:48918,7,7,32,26,815.741
1713397595.800406,10.10.1.100:48934,10,10,18,21,811.231
1713397595.882003,10.10.1.100:48944,4,5,33,22,806.634
1713397595.883460,10.10.1.100:48918,7,7,32,26,815.741
1713397595.884840,10.10.1.100:48934,10,10,18,21,811.231
1713397595.965563,10.10.1.100:48944,7,8,22,22,824.294
1713397595.967016,10.10.1.100:48918,7,7,32,26,815.741
1713397595.968345,10.10.1.100:48934,10,10,18,21,811.231
1713397596.050113,10.10.1.100:48944,9,10,20,22,826.967
1713397596.051581,10.10.1.100:48918,10,10,25,26,825.462
1713397596.052924,10.10.1.100:48934,10,10,18,21,811.231
1713397596.133732,10.10.1.100:48944,10,11,19,22,828.048
1713397596.135190,10.10.1.100:48918,16,16,19,26,831.143
1713397596.136522,10.10.1.100:48934,10,10,18,21,811.231
1713397596.219488,10.10.1.100:48944,11,12,18,22,829.009
1713397596.220961,10.10.1.100:48918,24,27,26,26,828.742
1713397596.222361,10.10.1.100:48934,12,12,15,21,817.005
1713397596.304091,10.10.1.100:48944,11,12,18,22,829.009
1713397596.305626,10.10.1.100:48918,20,27,26,26,808.244
1713397596.306969,10.10.1.100:48934,20,21,21,21,802.022
1713397596.388684,10.10.1.100:48944,11,12,18,22,829.009
1713397596.390171,10.10.1.100:48918,20,27,26,26,808.244
1713397596.391508,10.10.1.100:48934,13,21,21,21,752.391
1713397596.473165,10.10.1.100:48944,16,17,17,22,757.469
1713397596.474624,10.10.1.100:48918,20,27,26,26,808.244
1713397596.475966,10.10.1.100:48934,11,21,21,21,732.143
1713397596.557307,10.10.1.100:48944,14,21,22,22,704.824
1713397596.558756,10.10.1.100:48918,20,27,26,26,808.244
1713397596.560122,10.10.1.100:48934,11,21,21,21,732.143
1713397596.641172,10.10.1.100:48944,11,21,22,22,674.501
1713397596.642625,10.10.1.100:48918,16,27,26,26,717.365
1713397596.643963,10.10.1.100:48934,11,21,21,21,732.143
1713397596.726120,10.10.1.100:48944,9,21,22,22,652.587
1713397596.727590,10.10.1.100:48918,11,27,26,26,651.195
1713397596.728923,10.10.1.100:48934,11,21,21,21,732.143
1713397596.809807,10.10.1.100:48944,9,21,22,22,652.587
1713397596.811298,10.10.1.100:48918,6,27,26,26,621.473
1713397596.812679,10.10.1.100:48934,9,21,21,21,696.844
1713397596.893930,10.10.1.100:48944,9,21,22,22,652.587
1713397596.895384,10.10.1.100:48918,0,27,26,26,644.779
1713397596.896715,10.10.1.100:48934,9,21,21,21,696.844
1713397596.978188,10.10.1.100:48944,9,21,22,22,652.587
1713397596.979679,10.10.1.100:48918,0,27,26,26,695.474
1713397596.981066,10.10.1.100:48934,7,21,21,21,652.587
1713397597.063753,10.10.1.100:48944,9,21,22,22,718.221
1713397597.065237,10.10.1.100:48918,0,27,26,26,652.587
1713397597.066570,10.10.1.100:48934,0,21,21,21,752.771
1713397597.147996,10.10.1.100:48944,9,21,22,22,693.088
1713397597.149482,10.10.1.100:48918,0,27,26,26,760.181
1713397597.150822,10.10.1.100:48934,0,21,21,21,760.316
1713397597.232462,10.10.1.100:48944,6,21,22,22,760.181
1713397597.233973,10.10.1.100:48918,0,27,26,26,806.093
1713397597.235330,10.10.1.100:48934,0,21,21,21,760.181
1713397597.316407,10.10.1.100:48944,0,21,22,22,813.037
1713397597.317932,10.10.1.100:48918,0,27,26,26,749.134
1713397597.319286,10.10.1.100:48934,0,21,21,21,760.181
1713397597.400434,10.10.1.100:48944,0,21,22,22,818.356
1713397597.401983,10.10.1.100:48918,0,27,26,26,784.952
1713397597.403346,10.10.1.100:48934,0,21,21,21,769.629
1713397597.486089,10.10.1.100:48944,0,21,22,22,818.356
1713397597.487537,10.10.1.100:48918,0,27,26,26,809.687
1713397597.488910,10.10.1.100:48934,0,21,21,21,777.888
1713397597.570189,10.10.1.100:48944,0,21,22,22,818.356
1713397597.571709,10.10.1.100:48918,0,27,26,26,825.508
1713397597.573078,10.10.1.100:48934,0,21,21,21,777.888
